iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,24,0.4297491550445557,0.022774284714469496,0.00219111442565918,0.0002828241095527747,0.7,0.01,3,1000,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6666666666666666,0.24152294576982397,172
0,24,0.33036513328552247,0.004831432994481654,0.0018839836120605469,2.8117628045118995e-05,0.7,0.01,3,1000,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.06776494979858398,0.004278270857227819,0.001748800277709961,2.452306331149933e-05,0.7,0.01,6,100,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.7}",1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.18257418583505536,172
0,24,0.07103071212768555,0.004995355397146895,0.0018665313720703125,9.934240467452718e-05,0.7,0.01,6,100,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.07055206298828125,0.0018377081209483325,0.0018188953399658203,3.509955534838104e-05,0.7,0.01,6,100,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.03860020637512207,0.0004991633999417794,0.0017217159271240234,4.867958594616322e-05,0.7,0.01,6,100,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.13539891242980956,0.014998428966035222,0.0018800735473632813,4.981102213591505e-05,0.7,0.01,6,200,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.7}",0.75,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6166666666666666,0.18708286933869708,331
0,24,0.1313570499420166,0.003703522238235326,0.0018566131591796875,2.180319330272937e-05,0.7,0.01,6,200,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.13583335876464844,0.003635793943088047,0.002435779571533203,0.0005043474095216122,0.7,0.01,6,200,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.07099909782409668,0.0007290090612201213,0.0020485877990722655,2.6244503806952897e-05,0.7,0.01,6,200,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
