iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,74,12.924160814285278,0.14978631124010391,0.5457406997680664,0.0493175133285197,True,balanced,10,0.5,10,10,1000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 1000, 'n_jobs': -1}",0.30612244897959184,0.75,0.45833333333333337,0.8163265306122449,0.6666666666666667,0.5994897959183675,0.1898282224477422,481
0,74,26.010410261154174,0.3191958226932792,0.8785828590393067,0.04113882390676696,True,balanced,10,0.5,10,10,2000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 2000, 'n_jobs': -1}",0.4897959183673469,0.825,0.5625,0.836734693877551,0.6875,0.6803061224489795,0.13829706315019252,15
0,74,38.976988554000854,0.22924113059080162,1.4357663631439208,0.14800398731227682,True,balanced,10,0.5,10,10,3000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 3000, 'n_jobs': -1}",0.40816326530612246,0.825,0.5208333333333333,0.8571428571428571,0.6666666666666667,0.6555612244897959,0.17252555693527208,89
0,74,13.144283437728882,0.14532266161559818,0.5485637664794922,0.07408185038969385,True,balanced,10,0.5,10,15,1000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 1000, 'n_jobs': -1}",0.4489795918367347,0.825,0.6041666666666667,0.8571428571428572,0.6666666666666666,0.6803911564625851,0.14946754030891624,14
0,74,26.035491752624512,0.2093207898587893,0.915811014175415,0.05481443712854604,True,balanced,10,0.5,10,15,2000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 2000, 'n_jobs': -1}",0.3877551020408163,0.825,0.5208333333333334,0.8571428571428571,0.6875,0.6556462585034014,0.17901755577220374,86
0,74,38.61810717582703,0.17339413487057592,1.416666316986084,0.0566097344488793,True,balanced,10,0.5,10,15,3000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 3000, 'n_jobs': -1}",0.46938775510204084,0.8,0.4791666666666667,0.8367346938775511,0.6666666666666667,0.650391156462585,0.15456498273754474,139
0,74,11.083929538726807,0.2120787241205853,0.5644058227539063,0.05498534457094413,True,balanced,10,0.5,15,5,1000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 5, 'n_estimators': 1000, 'n_jobs': -1}",0.46938775510204084,0.8,0.6041666666666667,0.8163265306122449,0.6041666666666666,0.6588095238095237,0.1316044437948221,67
0,74,22.235471391677855,0.4145139313896663,0.9889148235321045,0.07138241875516084,True,balanced,10,0.5,15,5,2000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 5, 'n_estimators': 2000, 'n_jobs': -1}",0.42857142857142855,0.825,0.5833333333333334,0.7551020408163266,0.6041666666666666,0.639234693877551,0.13904512291913979,217
0,74,33.45172643661499,0.32906554861296605,1.3249613285064696,0.12606294225250222,True,balanced,10,0.5,15,5,3000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 5, 'n_estimators': 3000, 'n_jobs': -1}",0.42857142857142855,0.8,0.5625,0.7755102040816327,0.6666666666666666,0.6466496598639455,0.13795747711244402,160
0,74,11.086631774902344,0.21757639654660446,0.5223606109619141,0.052452156379697704,True,balanced,10,0.5,15,10,1000,-1,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 1000, 'n_jobs': -1}",0.3877551020408163,0.85,0.5625,0.7346938775510204,0.6458333333333334,0.636156462585034,0.1566274770725515,242
